English,6286073
Cebuano,5726804
Swedish,3229139
German,2567241
French,2320972
Dutch,2052633
Russian,1717567
Italian,1688255
Spanish,1676280
Polish,1469290
Waray-Waray,1265101
Japanese,1264610
Vietnamese,1263128
Egyptian Arabic,1247359
Chinese,1192301
Arabic,1112278
Ukrainian,1088596
Portuguese,1066865
Persian,789368
Catalan,676865
Serbian,645541
Indonesian,569820
Norwegian (Bokm�l),555076
Korean,537797
Finnish,507818
Hungarian,486809
Czech,479332
Serbo-Croatian,454874
Min Nan,430763
Romanian,419108
Turkish,399542
Basque,373663
Chechen,354164
Malay,347913
Esperanto,295124
Hebrew,293341
Armenian,283626
Bulgarian,270973
Tatar,266926
Danish,266312
South Azerbaijani,240192
Slovak,236587
Kazakh,228094
Minangkabau,224449
Estonian,218497
Croatian,208466
Belarusian,204002
Lithuanian,199383
Greek,191887
Simple English,186063
Azerbaijani,180373
Galician,172978
Slovenian,172196
Urdu,163045
Norwegian (Nynorsk),158322
Georgian,151843
Hindi,147105
Uzbek,140065
Thai,140016
Tamil,136139
Latin,135197
Welsh,132711
Asturian,126650
Volap�k,126489
Macedonian,114166
Cantonese,109479
Latvian,107233
Bengali,106714
Tajik,103017
Burmese,100288
Afrikaans,97734
Malagasy,93880
Occitan,86606
Bosnian,85662
Albanian,82905
Low Saxon,82508
Kirghiz,80753
Belarusian (Tara�kievica),74252
Malayalam,73103
Marathi,72526
Newar,72322
Telugu,71055
Breton,69432
Venetian,67567
Piedmontese,65822
Javanese,63210
Haitian,61853
Western Punjabi,61785
Swahili,61509
Sundanese,60743
Luxembourgish,59658
Bashkir,56755
Irish,54756
Tagalog,54394
Silesian,53507
Icelandic,52583
Lombard,46011
Chuvash,45803
West Frisian,45542
Wu,41984
Scots,40828
Zazaki,39956
Aragonese,39912
Kurdish,38315
Punjabi,35885
Yoruba,33348
Nepali,31799
Bavarian,31593
Sorani,30178
Ido,30140
Gujarati,29518
Alemannic,27796
Kannada,26806
Sicilian,26157
Bishnupriya Manipuri,25050
Interlingua,23113
Quechua,22882
Mongolian,20530
Sinhalese,17063
Samogitian,16879
Navajo,16666
Mingrelian,16085
Oriya,15630
Min Dong,15504
Ilokano,15390
Scottish Gaelic,15258
Yiddish,15162
Amharic,14915
Neapolitan,14671
Sindhi,14152
Buginese,14138
Upper Sorbian,13743
Maithili,13662
Faroese,13565
Kotava,13451
Banyumasan,13381
Mazandarani,13295
Limburgish,13246
Ossetian,13243
Sakha,13122
North Frisian,12950
Emilian-Romagnol,12696
Acehnese,12233
Pashto,12170
Sanskrit,11517
Gorontalo,11294
Central Bicolano,11102
Walloon,11074
Classical Chinese,10694
Hill Mari,10287
Ligurian,10246
Meadow Mari,10238
Fiji Hindi,9869
Hakka,9422
Tarantino,9303
Crimean Tatar,9161
Kapampangan,8927
Western Armenian,8820
Shan,8656
Hausa,8514
Assamese,8385
Northern Sotho,8380
Khmer,8261
Rusyn,8075
Zulu,8016
Northern Sami,7742
Bhojpuri,7441
West Flemish,7370
Dutch Low Saxon,7249
Maori,7178
Balinese,7036
Nahuatl,6999
Sardinian,6951
Shona,6855
Vepsian,6663
Gan,6433
Erzya,6307
Gilaki,6286
Kabyle,6154
Abkhazian,6103
Interlingue,6065
Somali,5990
Santali,5981
Tibetan,5952
Corsican,5912
Turkmen,5899
V�ro,5745
Komi,5445
Kashubian,5380
Picard,5098
Manx,5042
Uyghur,5042
Udmurt,5040
Aymara,4896
Franco-Proven�al,4886
Zeelandic,4747
Norman,4564
Cornish,4539
Lezgian,4191
Guarani,4103
Lingua Franca Nova,4087
Saterland Frisian,4043
Mirandese,3848
Maltese,3840
Romansh,3715
Moroccan Arabic,3673
Lao,3667
Ladino,3584
Saraiki,3564
Livvi-Karelian,3559
Banjar,3554
Goan Konkani,3543
Komi-Permyak,3461
Friulian,3431
Anglo-Saxon,3318
Doteli,3295
Lower Sorbian,3292
Extremaduran,3277
Lingala,3213
Tuvan,3168
Zamboanga Chavacano,3101
Divehi,2969
Ripuarian,2907
Meitei,2899
Inari Sami,2818
Gagauz,2784
Palatinate German,2708
Pangasinan,2559
Pali,2552
Avar,2518
Awadhi,2432
Tayal,2401
Hawaiian,2365
Buryat,2181
Papiamentu,2126
Kalmyk,2097
Igbo,2064
Karachay-Balkar,2052
Kinyarwanda,2047
Zhuang,1961
Pennsylvania German,1920
Karakalpak,1903
Sakizaya,1841
Aramaic,1772
Tongan,1743
Ingush,1731
Novial,1687
Kabiye,1683
Jamaican Patois,1661
Tok Pisin,1635
Wolof,1628
Kabardian Circassian,1587
Nauruan,1582
Atikamekw,1530
Kikuyu,1502
Tetum,1482
Tulu,1431
Akan,1379
Ladin,1355
Luganda,1311
Lojban,1272
Aromanian,1251
Bislama,1248
Lak,1231
Kongo,1223
Tahitian,1210
Moksha,1202
Xhosa,1183
Fijian,1155
Sranan,1082
Oromo,1061
Guianan Creole,1046
Seediq,1037
Samoan,1008
Latgalian,1007
N�Ko,925
Cherokee,918
Nias,865
Norfolk,855
Mon,853
Gothic,839
Greenlandic,814
Sesotho,814
Madurese,764
Old Church Slavonic,762
Twi,751
Chichewa,745
Tswana,721
Tsonga,708
Bambara,694
Romani,683
Venda,633
Cheyenne,621
Kirundi,617
Tumbuka,595
Swati,527
Chamorro,522
Inuktitut,517
Kashmiri,514
Pontic,474
Adyghe,430
Southern Altai,415
Ewe,361
Inupiak,290
Fula,278
Sango,266
Dinka,263
Dzongkha,220
Tigrinya,212
Cree,156
Ndonga,8
Choctaw,6
Kuanyama,4
Marshallese,4
Hiri Motu,3
Sichuan Yi,3
Afar,1
Northern Luri,1
Muscogee,1
Herero,0
Kanuri,0
